time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume ETH,open ETH
2/10/2019 18:00,-0.214650796,4206,-902.821248,6097.534132,117.21
2/10/2019 21:00,-0.130418675,3538,-461.4212722,48860.75685,118.27
2/11/2019 0:00,-0.088846982,3176,-282.1780148,59395.13554,121.24
2/11/2019 3:00,-0.124094445,2487,-308.6228847,11626.43909,119.39
2/11/2019 6:00,-0.159236643,3366,-535.9905403,2778.960509,119.06
2/11/2019 9:00,-0.192321766,3818,-734.2845026,2894.647739,119.17
2/11/2019 12:00,-0.116960937,4673,-546.5584586,20492.48941,119.9533333
2/11/2019 15:00,-0.153599001,5117,-785.9660881,13064.54444,120.2133333
2/11/2019 18:00,-0.135371674,4941,-668.8714412,9669.634473,120.1966667
2/11/2019 21:00,-0.152956211,4198,-642.1101738,6432.365947,119.9
2/12/2019 0:00,-0.216803786,3445,-746.8890428,17278.05052,118.5933333
2/12/2019 3:00,-0.181699195,2994,-544.0073898,10215.85311,118.8833333
2/12/2019 6:00,-0.168522085,3294,-555.111748,7825.865707,119.52
2/12/2019 9:00,-0.138873141,3863,-536.4669437,2789.876623,118.86
2/12/2019 12:00,-0.163487611,4631,-757.1111265,10157.3797,119.4066667
2/12/2019 15:00,-0.150744543,4960,-747.6929333,11959.47609,118.7266667
2/12/2019 18:00,-0.149576635,4503,-673.5435874,28884.77306,120.2833333
2/12/2019 21:00,-0.184506913,4271,-788.0290254,15340.36182,120.6566667
2/13/2019 0:00,-0.148191427,3468,-513.9278688,9071.494343,121.04
2/13/2019 3:00,-0.158039694,3190,-504.1466239,13414.66424,121.7866667
2/13/2019 6:00,-0.104214488,3811,-397.1614138,21649.13418,122.6233333
2/13/2019 9:00,-0.162180374,3829,-620.988652,9266.567338,121.69
2/13/2019 12:00,-0.161479979,5055,-816.2812938,7997.841139,121.6766667
2/13/2019 15:00,-0.115266212,5417,-624.3970704,15626.94932,120.43
2/13/2019 18:00,-0.170481888,4768,-812.857642,8559.500749,120.37
