time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LINK,open LINK
9/24/2020 18:00,-0.053207057,10539,-560.7491737,2685078.6,9.55052
9/24/2020 21:00,-0.058342657,9270,-540.8364304,1217123.47,9.942356667
9/25/2020 0:00,-0.063100344,7165,-452.1139648,739156.93,9.803566667
9/25/2020 3:00,-0.06653171,6582,-437.9117152,423180.12,9.81471
9/25/2020 6:00,-0.071594971,7033,-503.527431,444432.04,9.7742
9/25/2020 9:00,-0.04981462,7893,-393.1867957,316179.3,9.506373333
9/25/2020 12:00,-0.049825709,10787,-537.469923,561429.93,9.778466667
9/25/2020 15:00,-0.031208229,10811,-337.3921637,1590793.85,10.19681667
9/25/2020 18:00,-0.064832639,10150,-658.0512859,1361595.43,10.86389
9/25/2020 21:00,-0.095091305,8039,-764.4390009,887448.15,10.85999333
9/26/2020 0:00,-0.036982695,7535,-278.6646068,372881.97,10.71864333
9/26/2020 3:00,-0.048068038,6589,-316.7203024,359942.79,10.77703333
9/26/2020 6:00,-0.048408357,7144,-345.8293024,394371.07,10.86353
9/26/2020 9:00,-0.060414563,6870,-415.0480478,144937.34,10.75406333
9/26/2020 12:00,-0.091128692,9418,-858.2500213,839754.57,10.38249333
9/26/2020 15:00,-0.047079386,9247,-435.3430823,431149.76,10.37290333
9/26/2020 18:00,-0.082656566,8237,-680.8421341,507166.78,10.19991667
9/26/2020 21:00,-0.085279503,6919,-590.0488813,251562.37,10.2174
9/27/2020 0:00,-0.087247914,6412,-559.4336246,403959.24,10.36898
9/27/2020 3:00,-0.051469205,5966,-307.065277,249385.35,10.37861
9/27/2020 6:00,-0.04540048,6732,-305.6360314,359789.71,10.23181
9/27/2020 9:00,-0.047256377,7383,-348.8938314,159513.16,10.12955667
9/27/2020 12:00,-0.012846781,9088,-116.7515457,225733.14,10.24305
9/27/2020 15:00,-0.034781882,9065,-315.2977603,720745.26,10.52959667
9/27/2020 18:00,-0.045839343,8609,-394.6309039,277927.19,10.715
9/27/2020 21:00,-0.075803287,7107,-538.7339607,311900.46,10.73431
9/28/2020 0:00,-0.088772094,7266,-645.018035,538549.15,10.86498333
9/28/2020 3:00,-0.026512522,5857,-155.2838414,145053.43,10.77428
